Id,Name,description,Rating,Current_Price,Original_Price,Discount,Operating_System,Launch_Year,Warranty_years
0,SAMSUNG 108 cm , Full HD LED Smart Tizen TV 2023 Edition,4.4,"24,499","37,900",35%, TizenFull HD 1920 x 1080 Pixels,2023,1
1,SAMSUNG 80 cm , HD Ready LED Smart Tizen TV with Bezel,4.4,"13,490","18,900",28%, TizenHD Ready 1366 x 768 Pixels,2022,1
2,Mi A series 80 cm , HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...,4.3,"11,999","24,999",52%, Google TVHD Ready 1366 x 768 Pixels,2023,1
3,LG 80 cm ," HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...",4.3,"15,490","19,990",22%, WebOSHD Ready 1366 x 768 Pixels,2023,1
4,LG 80 cm , HD Ready LED Smart WebOS TV,4.3,"13,990","24,990",44%, WebOSHD Ready 1366 x 768 Pixels,2020,1
5,Mi A Series 80 cm , HD Ready LED Smart Google TV 2024 Edition,4.3,"12,999","24,999",48%, Google TVHD Ready 1366 x 768 Pixels,2024,1
6,Mi A series 108 cm , Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...,4.2,"22,999","35,999",36%, Google TVFull HD 1920 x 1080 Pixels,2023,1
7,REDMI 80 cm , HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X,4.2,"11,490","24,999",54%, FireTv OS 7HD Ready 1366 x 768 Pixels,2023,1
8,LG UQ7550 108 cm , Ultra HD (4K,4.4,"31,990","47,990",33%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
9,Acer Advanced I Series 102 cm ," Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...",4.3,"16,999","29,999",43%, Google TVFull HD 1080 x 1920 Pixels,2023,1
10,Mi X Series 138 cm , Ultra HD (4K,4.3,"37,999","54,999",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
11,iFFALCON by TCL S53 101 cm , Full HD LED Smart Android TV with Bezel,4.2,"13,999","38,990",64%, AndroidFull HD 1920 x 1080 Pixels,2023,1
12,LG UQ7550 139 cm , Ultra HD (4K,4.4,"44,990","71,990",37%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
13,MOTOROLA EnvisionX 140 cm , Ultra HD (4K,4.3,"32,999","56,790",41%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
14,Thomson Phoenix 108 cm , QLED Ultra HD (4K,4.5,"21,999","31,999",31%, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,1
15,iFFALCON by TCL U62 164 cm , Ultra HD (4K,4.2,"37,999","1,20,990",68%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
16,Thomson Alpha 80 cm , HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel,4.4,"8,499","14,999",43%, LinuxHD Ready 1366 x 768 Pixels,2022,1
17,Thomson Alpha 60 cm , HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output,4.4,"6,399","9,999",36%, LinuxHD Ready 1366 x 768 Pixels,2023,1
18,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm , Ultra HD (4K,4.3,"29,990","54,900",45%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
19,iFFALCON by TCL U62 108 cm , Ultra HD (4K,4.2,"18,999","49,990",61%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
20,MOTOROLA EnvisionX 109 cm , Ultra HD (4K,4.3,"22,999","49,990",53%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
21,SAMSUNG Crystal 4K Neo Series 138 cm , Ultra HD (4K,4.4,"39,990","70,900",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
22,SAMSUNG Crystal 4K iSmart Series 108 cm , Ultra HD (4K,4.3,"28,990","52,900",45%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
23,Thomson 9A Series 80 cm , HD Ready LED Smart Android TV,4.3,"9,499","14,499",34%, AndroidHD Ready 1366 x 768 Pixels,2020,1
24,SONY Bravia X75L 108 cm , Ultra HD (4K,4.7,"43,999","69,900",37%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
25,MOTOROLA 80 cm , HD Ready LED Smart Google TV,4.2,"11,499","20,000",42%, Google TVHD Ready 1366 x 768 Pixels,2023,1
26,Mi X Series 108 cm , Ultra HD (4K,4.3,"26,999","42,999",37%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
27,Blaupunkt Quantum Dot 108 cm , QLED Ultra HD (4K,4.6,"21,999","33,999",35%, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,1
